"","object","original_response","cleaned_response","creativity"
"43","brick","deurklem","deurklem","2.3"
"44","brick","deurstopper","deurstopper","2.3"
"45","brick","deurstop","deurstopper","2.3"
"46","brick","Deurstopper","deurstopper","2.3"
"47","brick","deurstop","deurstopper","2.3"
"48","brick","deurstop","deurstopper","2.3"
"49","brick","deurstopper","deurstopper","2.3"
"50","brick","dingen kapot slaan","dingen kapot slaan","2.2"
"51","brick","Doden","doden","2.2"
"52","brick","drumstel","drumstel","3.8"
"53","brick","erop zitten als je het opstapelt","erop zitten opstapelt","3"
"54","brick","om evenwichtsoeveningen op te doen","evenwichtsoefeningen","3.1"
"55","brick","eye opener","eye opener","4.6"
"56","brick","figuurtjes maken","figuurtjes","3"
"57","brick","foto's ervan maken","foto s ervan","3.9"
"58","brick","een garage","garage","4"
"59","brick","om een gat te dichten","gat dichten","2.1"
"60","brick","Gaten mee dichtmaken","gaten dichtmaken","2.1"
"61","brick","gebouw","gebouw","1.4"
"62","brick","geluid maken","geluid","3"
"63","brick","geluidswal","geluidswal","2.1"
"64","brick","geperst karton","geperst karton","2"
"65","brick","gewicht","gewicht","2.2"
"66","brick","als gewicht aan een dobber oid (dus als anker)","gewicht dobber","3.1"
"67","brick","gewicht voor fitness","gewicht fitness","3.1"
"68","brick","gewicht voor gewichtheffen","gewicht gewichtheffen","3.1"
"69","brick","gewichtsheffen","gewichtheffen","3.1"
"70","brick","gooien","gooien","2.3"
"71","brick","gooien","gooien","2.3"
"72","brick","ermee gooien","gooien","2.3"
"73","brick","gooien","gooien","2.3"
"74","brick","om mee te gooien","gooien","2.3"
"75","brick","gooien","gooien","2.3"
"76","brick","gooien","gooien","2.3"
"77","brick","gooien","gooien","2.3"
"78","brick","graffitymuur","graffitimuur","3.2"
"79","brick","grondstof voor beeld","grondstof beeld","2.2"
"80","brick","grondstof voor grafel","grondstof gravel","2.1"
"81","brick","hamer","hamer","3.1"
"82","brick","hamer","hamer","3.1"
"83","brick","hoed","hoed","3.7"
"84","brick","hoed","hoed","3.7"
"85","brick","homeopatisch medicijn (vermalen)","homeopathisch medicijn","3.8"
"86","brick","houten blok","houten blok","1.9"
"87","brick","huis","huis","1.4"
"88","brick","huis bouwen","huis bouwen","1.4"
"89","brick","huizen bouwen","huizen bouwen","1.4"
"90","brick","hut","hut","1.4"
"91","brick","hut bouwen","hut bouwen","1.4"
"92","brick","Inbreken","inbreken","2.2"
"93","brick","iets ermee inslaan (een ruit)","inslaan","2.3"
"94","brick","Jenga mee spelen","JENGA spelen","3.9"
"95","brick","jeu de boulen","jeu boule","4"
"96","brick","met jeu-de-boulen","jeu boule","4"
"97","brick","jeux de boulle bal","jeu boules bal","4"
"98","brick","jongleren","jongleren","3.9"
"99","brick","iets kapot maken","kapot","2.2"
"100","brick","Kapot gooien","kapot gooien","2.2"
"101","brick","karate","karate","3"
"102","brick","kleibonk","kleibonk","2.8"
"103","brick","klos","klos","3"
"104","brick","konijnen hok","konijnen hok","2.3"
"105","brick","krachttraining","krachttraining","3.1"
"106","brick","krijt","krijt","3.1"
"107","brick","krijten","krijten","3.1"
"108","brick","krijtje","krijtje","3.1"
"109","brick","kunstobject","kunstobject","3"
"110","brick","kunstobject","kunstobject","3"
"111","brick","kunstvoorwerp","kunstvoorwerp","3"
"112","brick","kunstwerk\","kunstwerk","3"
"113","brick","iets laten zinken","laten zinken","2.2"
"114","brick","ieta laten zinken","laten zinken","2.2"
"115","brick","lawaai maken","lawaai","3.9"
"116","brick","lekker koele ondergrond maken om op te liggen","lekker koele ondergrond liggen","3"
"117","brick","li","li","0"
"118","brick","Op liggen","liggen","3"
"119","brick","op liggen","liggen","3"
"120","brick","lounge bank","lounge bank","3"
"121","brick","Mensen bekogelen","mensen bekogelen","2.2"
"122","brick","mensen stil krijgen","mensen stil krijgen","3"
"123","brick","meubels ondersteunen","meubels ondersteunen","2.1"
"124","brick","mikado","mikado","3.7"
"125","brick","om over modder te kunnen lopen","modder lopen","4"
"126","brick","moordwapen","moordwapen","2.2"
"127","brick","moordwapen","moordwapen","2.2"
"128","brick","muur bouwen","muur bouwen","1.4"
"129","brick","een muurtje","muurtje","1.4"
"130","brick","om een muurtje te bouwen","muurtje bouwen","1.4"
"131","brick","muziek maken","muziek","3.9"
"132","brick","nagelbreker","nagelbreker","3"
"133","brick","oefeningen voor de geest: muur doorbreken","oefeningen geest muur doorbreken","3.8"
"134","brick","oefenmateriaal voor vechtsport","oefenmateriaal vechtsport","3.9"
"135","brick","onder iets leggen om de boel te verhogen","onder leggen boel verhogen","2.2"
"136","brick","onder water zetten","onder water zetten","2.2"
"137","brick","als ondersteuning voor iets anders","ondersteuning anders","2.2"
"138","brick","onderzetter","onderzetter","3.2"
"139","brick","onderzetter","onderzetter","3.2"
"140","brick","onderzetter","onderzetter","3.2"
"141","brick","onderzetter","onderzetter","3.2"
"142","brick","onderzetter","onderzetter","3.2"
"143","brick","onderzetter","onderzetter","3.2"
"144","brick","als onderzetter gebruiken","onderzetter","3.2"
"145","brick","Onderzetter","onderzetter","3.2"
"146","brick","onderzetter","onderzetter","3.2"
"147","brick","onderzettertje","onderzettertje","3.2"
"148","brick","bijv dunne lijn van bakstenen waarop je kunt lopen","oorbeeld dunne lijn bakstenen waarop lopen","3.1"
"149","brick","opgraven","opgraven","2.1"
"150","brick","gebruiken als opstapje","opstapje","2.3"
"151","brick","opstapje","opstapje","2.3"
"152","brick","opstapje","opstapje","2.3"
"153","brick","als opstapje","opstapje","2.3"
"154","brick","\toren maken","oren","2.3"
"155","brick","Oven","oven","3"
"156","brick","paadje aanleggen in een moeras","paadje aanleggen moeras","2.3"
"157","brick","papier houder","papier houder","2.3"
"158","brick","papier mache","Papier maché","3"
"159","brick","piepschui","piepschuim","3.7"
"160","brick","plank","plank","2.1"
"161","brick","om een plank op te leggen","plank leggen","2.3"
"162","brick","plantendrukkerdroogding","planten drukker droog ding","2.1"
"163","brick","plastic bak","plastic bak","1.9"
"164","brick","podium voor mierentheater","podium mierentheater","4"
"165","brick","raam breken","raam breken","2.3"
"166","brick","raam ingooien","raam ingooien","2.3"
"167","brick","racebaan","racebaan","4"
"168","brick","ramen ingooien","ramen ingooien","2.3"
"169","brick","rug stuen tijdens yoga","rug steun tijdens yoga","4.9"
"170","brick","door de ruit meegooien","ruit gooien","2.3"
"171","brick","een ruit mee ingooien","ruit ingooien","2.3"
"172","brick","ruit inslaan","ruit inslaan","2.3"
"173","brick","Ruit mee inslaan","ruit inslaan","2.3"
"174","brick","Ruiten ingooien","ruiten ingooien","2.3"
"175","brick","ruitje intikken","ruitje intikken","2.3"
"176","brick","gebruiken als schrijfsteen op ander steen-achtig materiaal","schrijfsteen ander steenachtig materiaal","3"
"177","brick","mee schrijven op iets van steen","schrijven steen","3"
"178","brick","als schuurpapier gebruiken","schuurpapier","3"
"179","brick","schuurpapier","schuurpapier","3"
"180","brick","sekspeeltje","seksspeeltje","4.7"
"181","brick","servettenhouder dat ze niet wegwaaien","servettenhouder niet wegwaaien","2.3"
"182","brick","sjouwen","sjouwen","2.1"
"183","brick","slagstok van een trommel","slagstok trommel","3.9"
"184","brick","Op slapen","slapen","3.9"
"185","brick","op slapen als kussen","slapen kussen","4"
"186","brick","sokkel voor beeld","sokkel beeld","3.2"
"187","brick","soor bbq","soor barbecue","3"
"188","brick","speel attribbut","speel attribuut","3"
"189","brick","speelmateriaal","speelmateriaal","3"
"190","brick","een speer puntiger mee maken","speer puntiger","3.1"
"191","brick","spelen","spelen","3"
"192","brick","spelletjes","spelletjes","3"
"193","brick","spiegels blokkeren omdat je lelijk bent","spiegels blokkeren lelijk bent","3.9"
"194","brick","om spieren mee te trainen","spieren trainen","3.1"
"195","brick","Sport: baksteen werpen","sport baksteen werpen","3.2"
"196","brick","stapelen","stapelen","2.3"
"197","brick","stapeken","stapelen","2.3"
"198","brick","Stenen eten (rare OCD)","stenen eten","3.7"
"199","brick","steun","steun","3"
"200","brick","steun pilaar","steun pilaar","2.2"
"201","brick","stoel","stoel","3"
"202","brick","stoel","stoel","3"
"203","brick","stoel","stoel","3"
"204","brick","stoepkrijt","stoepkrijt","3.1"
"205","brick","straat","straat","1.4"
"206","brick","straat leggen","straat leggen","1.4"
"207","brick","strijbout (eerst heet maken)","strijkbout","3.9"
"208","brick","om stuk te slaan (agressietraining)","stuk slaan","3.1"
"209","brick","tafel","tafel","2.1"
"210","brick","zelf een tafel maken met bakstenen als tafelpoten","tafel bakstenen tafelpoten","2.2"
"211","brick","tafel hoger maken(meerdere bakstenen nodig)","tafel hoger","2.2"
"212","brick","tafel recht houden","tafel recht houden","2.1"
"213","brick","tafeltje","tafeltje","2.1"
"214","brick","om iets tegen te houden","tegen houden","3"
"215","brick","je kan er mee tekenen","tekenen","3.1"
"216","brick","tekst in schrijven","tekst schrijven","3.1"
"217","brick","je kan ermee tellen","tellen","2.9"
"218","brick","timmeren","timmeren","2.2"
"219","brick","toren maken","toren","2.3"
"220","brick","toren","toren","2.3"
"221","brick","toren","toren","2.3"
"222","brick","toren","toren","2.3"
"223","brick","trapje","trapje","2.3"
"224","brick","een traptrede","traptrede","2.3"
"225","brick","vangen","vangen","2.1"
"226","brick","vecht middel","vecht middel","2.2"
"227","brick","Verhoging","verhoging","2.2"
"228","brick","of verhoging voor iets anders","verhoging anders","2.2"
"229","brick","verhoging voor de bureaustoel","verhoging bureaustoel","2.2"
"230","brick","verhoging voor spreker","verhoging spreker","2.2"
"231","brick","verkruimelen","verkruimelen","2.2"
"232","brick","verkruimelen en als vloer gebruiken","verkruimelen vloer","2.2"
"233","brick","iets om iets mee te vermalen","vermalen","3.1"
"234","brick","versieren met ogen en voelsprieten als vaderdag cadeautje","versieren ogen voelsprieten Vaderdag cadeautje","4"
"235","brick","verstoppen","verstoppen","3"
"236","brick","iemand ermee verwonden door ermee te gooien","verwonden gooien","2.3"
"237","brick","Verzwaren van dingen","verzwaren dingen","2.2"
"238","brick","vlechtwerk van oude lappen stof","vlechtwerk oude lappen stof","3.7"
"239","brick","als voelmateriaal","voelmateriaal","3"
"240","brick","voetenbank","voetenbank","2.3"
"241","brick","een voorwerp om mee te kleuren","voorwerp kleuren","3"
"242","brick","vuurtje maken tussen bakstenen","vuurtje tussen bakstenen","2.3"
"243","brick","wandelpad","wandelpad","1.4"
"244","brick","wapen","wapen","2.2"
"245","brick","wapen","wapen","2.2"
"246","brick","wapen","wapen","2.2"
"247","brick","wapen","wapen","2.2"
"248","brick","wapen","wapen","2.2"
"249","brick","om water tegen te houden","water tegen houden","2.1"
"250","brick","wateropslag","wateropslag","3.9"
"251","brick","weegschaalgewicht","weegschaalgewicht","2.2"
"252","brick","wolkenkrabber","wolkenkrabber","1.4"
"253","brick","een woord van maken","woord","3.9"
"254","brick","yoga","yoga","4.9"
"255","brick","om op te zitten","zitten","3.1"
"256","brick","om op te zitten","zitten","3.1"
"257","brick","zorgen dat papier niet weg waait","zorgen papier niet weg waait","2.3"
"258","brick","maken",NA,"0"
"259","brick","etc......",NA,"0"
"260","brick","veel",NA,"0"
"261","brick","je kan er iets op doen",NA,"0"
"262","brick","5",NA,"0"
"263","brick","aannemer","aannemer","0"
"264","brick","Aanrecht","aanrecht","2.1"
"265","brick","Aansteker","aansteker","3.7"
"266","brick","aanvallen","aanvallen","3"
"267","brick","Accesoires","accessoires","2.9"
"268","brick","achter het wiel van een auto zetten zodat deze niet achteruit rijdt.","achter wiel auto zetten zodat niet achteruit rijdt","4"
"269","brick","achtergrond","achtergrond","3"
"270","brick","achtertuin","achtertuin","2.1"
"271","brick","afscheiding","afscheiding","2.2"
"272","brick","afscheiding planten in tuin","afscheiding planten tuin","2.2"
"273","brick","iets anders kapot maken","anders kapot","2.2"
"274","brick","als anker voor een boot","anker boot","3.9"
"275","brick","appartement","appartement","1.2"
"276","brick","appartement","appartement","1.4"
"277","brick","architect","architect","0"
"278","brick","architectuur","architectuur","1.4"
"279","brick","architectuur","architectuur","1.4"
"280","brick","Architectuur","architectuur","1.4"
"281","brick","architectuur","architectuur","1.4"
"282","brick","artistiek object","artistiek object","3"
"283","brick","auto","auto","3.7"
"284","brick","auto","auto","3.7"
"285","brick","auto steen stoep huizen hotel","auto steen stoep huizen hotel","0"
"286","brick","ayi benim","ayi benim","0"
"287","brick","bak 1","bak","0"
"288","brick","bak 2","bak","0"
"289","brick","bak 3","bak","0"
"290","brick","bak","bak","1.8"
"291","brick","bak","bak","2.1"
"292","brick","bak","bak","2.1"
"293","brick","bak","bak","2.1"
"294","brick","bak","bak","2.1"
"295","brick","een bak van maken","bak","2.1"
"296","brick","bakfiets","bakfiets","3.7"
"297","brick","bakken","bakken","3.1"
"298","brick","Bakken met stenen","bakken stenen","3.1"
"299","brick","bakoven","bakoven","3"
"300","brick","baksteen","baksteen","1.4"
"301","brick","baksteen","baksteen","1.4"
"302","brick","baksteen","baksteen","1.4"
"303","brick","baksteen door je ruit","baksteen ruit","2.3"
"304","brick","baksteenkasteel","baksteenkasteel","1.4"
"305","brick","bakstenen","bakstenen","1.3"
"306","brick","2 basktenen van maken","bakstenen","1.3"
"307","brick","bakstenenauto","bakstenen auto","4.6"
"308","brick","bakstenendienblad","bakstenen dienblad","4.8"
"309","brick","bakstenenfiets","bakstenen fiets","4.6"
"310","brick","bakstenenfietspad","bakstenen fietspad","1.4"
"311","brick","bakstenen hok voor je huisdier maken","bakstenen hok huisdier","1.4"
"312","brick","bakstenenhuis","bakstenen huis","1.4"
"313","brick","bakstenenschool","bakstenen school","1.4"
"314","brick","iets met bakstenen schrijven","bakstenen schrijven","3.9"
"315","brick","bakstenentafel","bakstenen tafel","3.9"
"316","brick","bal","bal","3"
"317","brick","BBQ","barbecue","3.9"
"318","brick","bed","bed","3.9"
"319","brick","Bedframe","bed frame","3.9"
"320","brick","om een beeld uit te hakken","beeld hakken","3.1"
"321","brick","beeld vormen uit","beeld vormen","3.1"
"322","brick","beelden maken","beelden","3.1"
"323","brick","Beeidhouden","beeldhouwen","3.1"
"324","brick","Beeldhouden","beeldhouwen","3.1"
"325","brick","beeldhouwen","beeldhouwen","3.1"
"326","brick","Beeldhouwen","beeldhouwen","3.1"
"327","brick","er een beeldje van maken","beeldje","3.1"
"328","brick","bescherming","bescherming","3.1"
"329","brick","bescherming tegen kou","bescherming tegen kou","3"
"330","brick","om te beschilderen","beschilderen","4"
"331","brick","beschilderen","beschilderen","4"
"332","brick","beschilderen als kunstwerk","beschilderen kunstwerk","4"
"333","brick","bestek","bestek","4.6"
"334","brick","bestippelen","bestippelen","4"
"335","brick","bestrate","bestrate","1.4"
"336","brick","bestraten","bestraten","1.4"
"337","brick","beton","beton","1.2"
"338","brick","bierfles opener","bierfles opener","4"
"339","brick","een bit style beeld van maken","bit style beeld","3.1"
"340","brick","bmw","BMW","0"
"341","brick","bob de boiwer","bob bouwer","0"
"342","brick","bob de bouwer","bob bouwer","0"
"343","brick","boeken steun","boeken steun","4.1"
"344","brick","als boekenhouder","boekenhouder","4.1"
"345","brick","boekenkast","boekenkast","4.9"
"346","brick","boekensteun","boekensteun","4.1"
"347","brick","Boekhouder","boekhouder","4.1"
"348","brick","boktor","boktor","0"
"349","brick","Boot","boot","3.8"
"350","brick","bouw","bouw","1.4"
"351","brick","bouw","bouw","1.4"
"352","brick","bouw","bouw","1.4"
"353","brick","bouw","bouw","1.4"
"354","brick","bouw","bouw","1.4"
"355","brick","bouwbedrijf","bouwbedrijf","0"
"356","brick","bouwblokken","bouwblokken","1.4"
"357","brick","bouwen","bouwen","1.4"
"358","brick","bouwen","bouwen","1.4"
"359","brick","bouwen","bouwen","1.4"
"360","brick","Bouwen","bouwen","1.4"
"361","brick","bouwen","bouwen","1.4"
"362","brick","bouwen","bouwen","1.4"
"363","brick","bouwen","bouwen","1.4"
"364","brick","bouwen","bouwen","1.4"
"365","brick","bouwen","bouwen","1.4"
"366","brick","Bouwen","bouwen","1.4"
"367","brick","bouwen","bouwen","1.4"
"368","brick","bouwen","bouwen","1.4"
"369","brick","bouwen","bouwen","1.4"
"370","brick","bouwen","bouwen","1.4"
"371","brick","bouwen","bouwen","1.4"
"372","brick","voor het bouwen van iets","bouwen","1.4"
"373","brick","bouwen","bouwen","1.4"
"374","brick","bouwen","bouwen","1.4"
"375","brick","bouwen","bouwen","1.4"
"376","brick","bouwen","bouwen","1.4"
"377","brick","bouwen","bouwen","1.4"
"378","brick","bouwen","bouwen","1.4"
"379","brick","bouwen","bouwen","1.4"
"380","brick","bouwen","bouwen","1.4"
"381","brick","bouwen","bouwen","1.4"
"382","brick","bouwen","bouwen","1.4"
"383","brick","bouwen","bouwen","1.4"
"384","brick","bouwen","bouwen","1.4"
"385","brick","bouwewn","bouwen","1.4"
"386","brick","bouwen","bouwen","1.4"
"387","brick","bouwen","bouwen","1.4"
"388","brick","Bouwen","bouwen","1.4"
"389","brick","bouwen","bouwen","1.4"
"390","brick","bouwen","bouwen","1.4"
"391","brick","bouwen","bouwen","1.4"
"392","brick","bouwen","bouwen","1.4"
"393","brick","bouwen","bouwen","1.4"
"394","brick","bouwen","bouwen","1.4"
"395","brick","bouwen","bouwen","1.4"
"396","brick","Bouwen","bouwen","1.4"
"397","brick","Iets bouwen","bouwen","1.4"
"398","brick","bouwen","bouwen","1.4"
"399","brick","bouwen","bouwen","1.4"
"400","brick","bouwen","bouwen","1.4"
"401","brick","bouwen","bouwen","1.4"
"402","brick","bouwen","bouwen","1.4"
"403","brick","bouwen","bouwen","1.4"
"404","brick","bouwen","bouwen","1.4"
"405","brick","bouwen","bouwen","1.4"
"406","brick","bouwen","bouwen","1.4"
"407","brick","bouwen","bouwen","1.4"
"408","brick","bouwen","bouwen","1.4"
"409","brick","bouwen","bouwen","1.4"
"410","brick","bouwen","bouwen","1.4"
"411","brick","Bouwen van huizen","bouwen huizen","1.4"
"412","brick","bouwen en als verhoging gebruiken","bouwen verhoging","1.4"
"413","brick","bouwmateriaal","bouwmateriaal","1.4"
"414","brick","bouwmedewerker","bouwmedewerker","0"
"415","brick","Bouwsector","bouwsector","0"
"416","brick","bouwvakker","bouwvakker","0"
"417","brick","bouwvakker","bouwvakker","0"
"418","brick","bouwvakker","bouwvakker","0"
"419","brick","bouwvakker","bouwvakker","0"
"420","brick","bouwvakker","bouwvakker","0"
"421","brick","Bouwvakker","bouwvakker","0"
"422","brick","bouwvaker","bouwvakker","0"
"423","brick","aan bouwvakkers geven","bouwvakkers geven","0"
"424","brick","bouwvaller","bouwvallen","0"
"425","brick","bouwwerk","bouwwerk","1.4"
"426","brick","bouwerken","bouwwerken","1.4"
"427","brick","naar boven gooien","boven gooien","2.3"
"428","brick","braintrain","braintrain","0"
"429","brick","breekbaar","breekbaar","0"
"430","brick","breken\","breken","2.2"
"431","brick","breken","breken","2.2"
"432","brick","breken","breken","2.2"
"433","brick","breken","breken","2.2"
"434","brick","breken","breken","2.2"
"435","brick","breken","breken","2.2"
"436","brick","op brood doen","brood","3.7"
"437","brick","brug","brug","1.3"
"438","brick","brug","brug","1.3"
"439","brick","bruin","bruin","0"
"440","brick","build a well","build a well","1.4"
"441","brick","buitenmuren","buitenmuren","1.4"
"442","brick","bungalows","bungalows","1.4"
"443","brick","en bureau","bureau","3.9"
"444","brick","bureau","bureau","3.9"
"445","brick","cadeau","cadeau","3"
"446","brick","cadeau","cadeau","3"
"447","brick","cement","cement","1.2"
"448","brick","cement","cement","1.2"
"449","brick","cement","cement","1.2"
"450","brick","cement","cement","1.2"
"451","brick","cement","cement","1.2"
"452","brick","cement","cement","1.2"
"453","brick","cement","cement","1.2"
"454","brick","cement","cement","1.2"
"455","brick","cement","cement","1.2"
"456","brick","cement","cement","1.2"
"457","brick","cement","cement","1.2"
"458","brick","sement","cement","1.2"
"459","brick","cement","cement","1.2"
"460","brick","cement","cement","1.2"
"461","brick","cement","cement","1.2"
"462","brick","cement","cement","1.2"
"463","brick","cement","cement","1.2"
"464","brick","cement","cement","1.2"
"465","brick","cement","cement","1.2"
"466","brick","cement","cement","1.2"
"467","brick","cement","cement","1.2"
"468","brick","clubhuizen","clubhuizen","1.4"
"469","brick","complex","complex","1.4"
"470","brick","constructie","constructie","1.3"
"471","brick","contra gewicht","contra gewicht","2.2"
"472","brick","Co<U+FFFD><U+FFFD><U+FFFD><U+FFFD>rdineer je huishoudelijke werkjes nu eens wat beter.","coördineer huishoudelijke werkjes beter","0"
"473","brick","dak","dak","2.2"
"474","brick","decoratie","decoratie","3.1"
"475","brick","decoratie voor tuin","decoratie tuin","3.1"
"476","brick","decorstuk","decorstuk","3.1"
"477","brick","demonstratie wapen","demonstratie wapen","2.1"
"478","brick","deur houder","deur houder","2.3"
"479","brick","gebruiken als deur open houder","deur open houder","2.3"
"480","brick","Deur openhouden","deur openhouden","2.3"
"481","brick","deur tegen houden","deur tegen houden","2.3"
"482","brick","deuropener","deuropener","2.3"
"483","brick","als deurstop","deurstopper","2.3"
"484","brick","deurstopper","deurstopper","2.3"
"485","brick","deurstopper","deurstopper","2.3"
"486","brick","dijk bouwen","dijk bouwen","1.4"
"487","brick","dingen slopen","dingen slopen","2.2"
"488","brick","dingen tegenhouden","dingen tegenhouden","2.1"
"489","brick","dingen er op zetten","dingen zetten","2.1"
"490","brick","doel paaltjes voetbal","doel paaltjes voetbal","4.1"
"491","brick","doelpaal bij voetval","doelpaal voetval","4.1"
"492","brick","domino makne","domino","4.9"
"493","brick","doorboren","doorboren","3"
"494","brick","doormidden hakken","doormidden hakken","3"
"495","brick","doormidden zagne","doormidden zagen","3"
"496","brick","doormiddenzagen","doormidden zagen","3"
"497","brick","dragen","dragen","3"
"498","brick","dumbell","dumbell","3.1"
"499","brick","duur","duur","0"
"500","brick","eigen hut bouwen","eigen hut bouwen","1.4"
"501","brick","iets ergens instampen","ergens instampen","3"
"502","brick","ernaar kijken","ernaar kijken","3"
"503","brick","erop delen strijken","erop delen strijken","4"
"504","brick","om erop te staan als ik ergens niet bij kom","erop staan ergens niet kom","2.3"
"505","brick","erop tekenen","erop tekenen","4"
"506","brick","eten","eten","2.8"
"507","brick","10eurooo","eurooo","0"
"508","brick","fabriek","fabriek","1.4"
"509","brick","fabriek","fabriek","1.4"
"510","brick","familie","familie","0"
"511","brick","flat","flat","1.4"
"512","brick","flat","flat","1.4"
"513","brick","flat","flat","1.4"
"514","brick","flats","flats","1.4"
"515","brick","Flessenopener","flessenopener","4"
"516","brick","een foto van maken","foto","3"
"517","brick","Gamma bouwstenen","gamma bouwstenen","1.4"
"518","brick","garage","garage","1.4"
"519","brick","gebouw","gebouw","1.4"
"520","brick","gebouw","gebouw","1.4"
"521","brick","gebouw","gebouw","1.4"
"522","brick","gebouw","gebouw","1.4"
"523","brick","gebuw","gebouw","1.4"
"524","brick","gebouw","gebouw","1.4"
"525","brick","gebouw","gebouw","1.4"
"526","brick","gebouw","gebouw","1.4"
"527","brick","gebouw","gebouw","1.4"
"528","brick","gebouw","gebouw","1.4"
"529","brick","gebouw","gebouw","1.4"
"530","brick","gebouw","gebouw","1.4"
"531","brick","gebou","gebouw","1.4"
"532","brick","gebouw","gebouw","1.4"
"533","brick","gebouw","gebouw","1.4"
"534","brick","gebouw","gebouw","1.4"
"535","brick","gebouw","gebouw","1.4"
"536","brick","gebouw","gebouw","1.4"
"537","brick","Gebouw","gebouw","1.4"
"538","brick","gebouw bouwen","gebouw bouwen","1.4"
"539","brick","gebouwen","gebouwen","1.4"
"540","brick","gebouwen","gebouwen","1.4"
"541","brick","gebouwen bouwen","gebouwen bouwen","1.4"
"542","brick","gebruik het voor het maken van een surpise (dat ding voor 5/6 december)","gebruik surprise","4.8"
"543","brick","gebruiksvoorwerp","gebruiksvoorwerp","1.2"
"544","brick","Geimproviseerde fuik om vissen te vangen.","geïmproviseerde fuik vissen vangen","4.6"
"545","brick","geld","geld","3"
"546","brick","geld verdienen","geld verdienen","3"
"547","brick","gevangenis","gevangenis","1.4"
"548","brick","geven","geven","2.1"
"549","brick","geven","geven","2.1"
"550","brick","gebruiken als gewicht","gewicht","2.2"
"551","brick","Als gewicht gebruiken","gewicht","2.2"
"552","brick","gewicht","gewicht","2.2"
"553","brick","gewicht","gewicht","2.2"
"554","brick","als gewicht gebruiken","gewicht","2.2"
"555","brick","gebruiken als een gewicht","gewicht","2.2"
"556","brick","gewicht","gewicht","2.2"
"557","brick","gewicht","gewicht","2.2"
"558","brick","als gewicht voor een boot oid","gewicht boot","2.2"
"559","brick","gewicht fitness","gewicht fitness","3.1"
"560","brick","gewicht om iets niet weg te laten waaien","gewicht niet weg laten waaien","2.3"
"561","brick","als gewicht voor spieroefeningen","gewicht spieroefeningen","3.1"
"562","brick","kan je gwichten mee maken","gewichten","3.1"
"563","brick","gewichten","gewichten","2.2"
"564","brick","gewichtheffen","gewichtheffen","3.1"
"565","brick","voor gewichtheffen","gewichtheffen","3.1"
"566","brick","gewichthefffen","gewichtheffen","3.1"
"567","brick","Gezichtscream","gezichtscrème","4.6"
"568","brick","glas breken","glas breken","2.3"
"569","brick","golemm","golem","0"
"570","brick","gooien","gooien","2.3"
"571","brick","gooien","gooien","2.3"
"572","brick","gooien","gooien","2.3"
"573","brick","gooien","gooien","2.3"
"574","brick","gooien","gooien","2.3"
"575","brick","gooien","gooien","2.3"
"576","brick","gooien","gooien","2.3"
"577","brick","gooien","gooien","2.3"
"578","brick","gooien","gooien","2.3"
"579","brick","gooien","gooien","2.3"
"580","brick","gooien","gooien","2.3"
"581","brick","gooien","gooien","2.3"
"582","brick","er mee gooien","gooien","2.3"
"583","brick","op iemand gooien","gooien","2.3"
"584","brick","gooien","gooien","2.3"
"585","brick","gooien","gooien","2.3"
"586","brick","gooien","gooien","2.3"
"587","brick","gooien","gooien","2.3"
"588","brick","gooien","gooien","2.3"
